,firm,pros: career opportunities,pros: compensation and benefits,pros: senior management,pros: work life balance,pros: culture and values,pros: diversity and inclusion,cons: career opportunities,cons: compensation and benefits,cons: senior management,cons: work life balance,cons: culture and values,cons: diversity and inclusion,index,opportunities,compensation,management,worklife_balance,culture,diversity,kmeans_labels
286,Interstate-Batteries,Good opportunities for career growth and advancement.,Okay pay and solid benefits,Strong leadership with a clear vision for the company's success.,"Able to maintain a healthy work-life balance, with flexible scheduling options.","Good company culture, good team members, their actions mainly align with ther purpose and values",A diverse and inclusive workplace where everyone feels valued and respected.,No opportunity for growth. Mild racism.,,"Some senior managers can be distant or unapproachable, making it difficult to get guidance or feedback.","Scheduling conflicts can arise, particularly during peak periods, making it challenging to maintain a healthy work-life balance.","The company's culture can feel rigid or inflexible at times, not allowing for much creativity or innovation.","Lacks diversity, inclusion, fairness and care for employees that are not senior management.",3299,2.79,3.4,2.86,3.61,3.38,3.33,4
287,Job-Corps,Flexible career paths available with growth potential,"Generous PTO, Pay, Hours, Humanity, Stability, Dental and medical assistance if needed",,"Flexible work hours and weekends off., No overtime required, work from home option","Students, co-workers, campus is nice with lots of natural wildlife",,Nothing in this world is absolutely free. All success comes at a cost.,Pay is lower than it should be for the work you do. Definitely room for advancement or pay increases though!,"Administration is horrible, they see everything as an avenue to push their political agenda.",,The people you have to deal with working their act like children,"Mentally abusive, they don't care about you you're just a number to them, they consider you to be inventory",2237,3.11,2.62,2.53,2.83,2.7,3.29,3
288,Case-Western-Reserve-University,"Good learning environment, global exposure and excellent growth opportunities","Good compensation, not too much work, Good insurance plan, flexible time, decent salary, good visa processing, Great Benefits very liberal environment.","The department chair was extremely accommodating, especially during these difficult times.","Depending on your dept, work-life balance can be flexible and wonderful. Some great people are working in various areas., Team environment, managers have real expectations",very diverse,very diverse,"Part time hours were limited, Needs to revisit pay structure. Must leave to be paid worth after increased education and training., Low pay and you really cant grow within the organization . Very Bias!! High parking cost","Not really a downside at all, i think the salary of hourly basis can be higher.","expect long hours workload, if you are in biomed/chem field., PIs take decisions and in many cases, your work some one else publishes. Great lack of work ethics and honesty if the PI does not stand with you.","Some weeks are very light and others are heavy, workload isn't consistent, It is hard sometimes to balance, Too much work...Prepare to be overwhelmed, Work can be over loading, hard to maintain a good work/ life balance with a family.","Compensation, diversity and inclusion training lacking in some leadership - should be a requirement for all., Do not value longtime employees no minorites in upper management., Many faculty don't care anymore., Very Bias!!",,1879,3.64,3.4,3.58,3.75,3.83,3.97,2
289,KIPP-Schools,"Lots of valuable resources and growth opportunities, Good benefits and opportunities for growth","The pay is good considering the position, Pay and benefits are very competitive in my opinion, and you will most likely work with some great people.",,"Work/life balance is decent depending on the school's opportunities for growth., You get summers off and that’s it",They want to make sure you are in a good place before anything. Team and Family is a big part of this company.,,,pay was not enough for me,"Higher ups are in clicks no room for growth, Iffy management (principals and APs)","long hours and intense culture, Long hours, stressful, inconsistent, different regions with different outcomes and priorities, You will have to work 12 hour days","The administration was terrible, more appropriately the ""school leader"". She would gossip about her employees to her other employees (best friends), not caring if the employee found out.","-I do not know how they get away with what they do to teachers and children., DO NOT WORK AT KIPP MEMPHIS! Do not send your babies here either. Truly the most HORRIBLE environment you could ever work in.",2045,3.37,3.56,2.89,2.45,3.35,3.67,4
290,Kids-‘R’-Kids,Great for gaining valuable experience in early childhood education.,Discounted childcare and 50 percent off child care is a great benefit.,,Every weekend off.,,,Low pay. Not much room for advancement,They do not pay enough!,"Owners call kids “ little dollar signs”. Nepotism, Favoritism, Bad Pay, Management is horrible.",,"Super uninclusive., Corporate is literal trash.","Cheap, Unethical and Racist. Really good at the hard sell.",2850,2.73,2.49,2.6,2.99,2.94,3.43,3
291,King-Abdullah-University-of-Science-and-Technology,"Research-wise, experimental/computational facilities are top-class in the world.","Payment is good; house and insurance are provided for free, and there is no income tax.",,"University compound living allows for a work-life balance with amenities like daycare facility, kids school, clinic, and emergency services.",A diverse and inclusive community with international colleagues from over 100 nations.,"Diversity, Research-based, Multinational, fast-moving, and family-oriented",,its a non-profit establishment therefore the salary will not change easily,,"Bad work life balance, you have to work extra",Very low cultural offer if none,Can be challenging to meet people outside of work.,2254,4.11,4.55,3.97,4.18,4.17,4.42,5
292,Komatsu,The company provides diverse career paths with various advancement opportunities.,"Very competitive pay and benefits, 401(k) contribution and match. PTO, Team Activities","Excellent top management is highly valued, and support from senior leadership is always provided.","Flexible work schedule a plus. Komatsu cares about safety and health of all employees.appreciate the flexible work schedule to care for kids, elderly family member or persons matters.","The culture is the #1 reason to work here, great people and company philosophy. Good company culture, friendly colleagues and management, making everything better.","Diversity is highly valued, and a respectful, diverse environment is provided.","Improper payscale / paygrade, Slow paced career growth",,Management is not the greatest,,Culture is so so and need good,,2483,3.46,3.92,3.4,3.68,3.73,3.71,1
293,Kyocera,The company offers various career growth opportunities.,"Salary is competitive, benefits are pretty good, Flexible work from home, good health insurance and 401 k plan and company benefits",Close working relationships with leadership. True open door to executive leadership.,Fair work-life balance. Challenging projects.,"Good culture and exposure to true international work culture, Good people focussed on the culture",,,"Not great salary. Could have some training workshops to up the game of the staff, Poor compensation. The basic salary is too low but there are too many allowances, which they may later take back.","Big changes in upper management ruining culture, Management is the worst issue at company",,"A lots of paperwork, traditional culture, no improvement.","Company stuck 50+ years behind in many ways and limited flexibility and vacation benefits and progressive thinking...., Annodata staff have turned the company on its head. Probably one of the worst companies to work for right now, No diversity whatsoever.",2355,2.99,3.17,2.83,3.18,3.09,3.28,3
294,Lacework,Great career growth and development opportunities with numerous examples of high performers being supported and promoted.,"Competitive compensation packages with great benefits (health, dental, etc.) that support work-life balance.","Great leadership team with a strong CEO who has an amazing vision for the company, building a talented team and impressive product roadmap.","Flexible working arrangements and emphasis on work-life balance, with opportunities to adjust schedules as needed.","A unique and innovative culture that prioritizes diversity, inclusivity, and high achievement without toxicity.",,"Struggle for life/work balance, not for those who aren't ready to work (not a bad thing), slow career growth","While competitive, some employees may find compensation packages not enough compared to other companies.","Senior leadership tends to be out of touch, but they are working on fixing this","Depending on the team, work-life balance can be an issue, with long hours expected in some cases.",Culture and stress levels are high,"The company still has room for improvement in terms of diversity and inclusion, particularly in leadership positions.",2902,4.18,4.56,4.06,3.64,4.01,3.98,5
295,Latham-and-Watkins,"Minimal to no opportunities for growth as staff, if you're someone with ambition this is not the place for you","The company is people focused and care about their staff. They remain extremely competitive in terms of benefits and similar maybe slightly above market salary, Good remuneration package, with yearly significant bonuses.","Senior management is supportive and helps associates develop their skills., Senior management tends to trust people with more than 25+ years of experience.",Good work balance life is also one of the best in my opinion,"Amazing people, values and culture, Great culture of training, inclusion and fantastic colleagues., Culture of the firm is amazing. They are really supportive of employees even if they aren't Partners, Attorneys, or Upper Level Management.",,"No life-work balance, overtime is not paid and there is a lot of it, some of the management people can be quite bullying at times",,"Getting used to working at a law firm and experiencing the separation between attorneys and staff came as a shock to me at first. Also, certain job titles are known to have a pretty flat career path (e.g., legal secretary). Sometimes the attitude of being overly nice leads to staff problems being ignored long term.",Difficult work-life balance; demanding hours,"Culture of servitude to senior staff, long hours, conservative, group think., Culture of servitude to senior staff, long hours, conservative, group think.",Lots of work and constantly busy,2793,3.96,4.41,3.81,3.39,4.14,4.16,5
296,Lear-Corporation,Many reviewers praise great career growth and learning opportunities with diverse activities.,"Benefits are good, Flexible work hours, half work day on Fridays. Kind coworkers (probably team dependent). Very good benefits for you and you dependents! Pretty good pay for working in a clean environment.",Some reviewers describe diversity of activities and a supportive management team. Some reviewers mention a great upper management team.,Reviewers often mention good work-life balance and flexible hours.,Many reviewers praise the respectful environment and good work culture.,,"It’s really really hard to get promoted, It’s really really hard to get promoted, Some reviewers mention lack of room for advancement and poor salary for experienced people.",,your work 6-7 days a week and not the greatest management,,Some reviewers describe a 'good ol boys company' with limited opportunities for advancement.,Reviewers also mention that some salaries are the same regardless of experience or performance. Several reviewers criticize very rude managers from CEO to supervisors. One reviewer mentions an unsafe and boring work environment.,1216,3.52,3.51,3.19,3.17,3.49,3.71,1
297,Leonardo,Significant opportunities for professional growth,"above average compensation, attention to employees' needs in terms of flexibility and bonuses",,Custom Working allows for a good work life balance with being able to do flexible hours it makes your working time more productive.,"Great culture, high performing teams and opportunity to grow & develop over your career","Inclusion and diversity is strongly implemented within Leonardo, with there being weekly webinars/Webex's and relevant network groups","Due to the nature of the organisation being highly regulated, getting things done can be very slow.","Below average salary. Tired and run-down office and working conditions/facilities., Money is not enough compared to competitors, Salary not too competitive","Senior management can sometimes feel remote, All the senior managers have all worked there forever and it's an old boys club.",,"Poor culture, poor management, poor flexibility they still adopt an old fashion time sheet system. Old ways of thinking, any suggestion for change is shut down and not considered","Negative culture within the aging workforce, I&D needs more improvement - disconnect between the 7 UK sites",1581,3.41,3.63,3.2,3.91,3.52,3.75,1
298,Leyton,"You learn how to talk to people concisely on the phones, and you learn how to think fast and just deal with things","get paid 6 - 12 months later in many cases, Salary is better than minimum wage, Benefits are solid",Upper management is great and actually listen to ideas.,"Flexible & hybrid working, Time flexible, vacation days., Climat, Salary, Shifts, management, caring...","culture is good, managers are close to age so there is transparacy, The culture is amazing and its just a really fun team to be part of.",,"not alot of room for growth, No career growth or clear progression path, Management don’t really know how to advise you on how to be better, they expect you to know your flaws and how to fix them","Salary could be improved, Pay was under average.","Senior team totally clueless leading to a host of people leaving or forced out., Management will encourage staying on and working outside of work hours leading to an unhealthy work-life balance, A Lot of KPIS to hit.","Management will encourage staying on and working outside of work hours leading to an unhealthy work-life balance, Staff turnover is ridiculously high, there will be a group of new people each month and some of them only last a couple of weeks. Treated like you're still at school with a set hour for lunch and no flexibility at all.","Everyone seems to be leaving and no real inquisition as to why... the culture has become very samey and focussed around the same 2 or 3 people that enjoy that - think wolf of Wall Street wannabes., Very male-centric and sexist environment where people are free to make despicable comments on females without being reprimanded by management.","Staff turnover is ridiculously high, there will be a group of new people each month and some of them only last a couple of weeks. Treated like you're still at school with a set hour for lunch and no flexibility at all., Very male-centric and sexist environment where people are free to make despicable comments on females without being reprimanded by management.",3320,3.23,3.23,3.01,3.28,3.22,3.43,4
299,Charlotte-Russe,"Lots of opportunity for advancement, Upper Management show support and communicate well","Good discount it’s 40% for employees, great discounts for employees, advancement opportunites, Flexible hours which is great for work-life balance., Flexible hours. I worked part time and was able to pick my own hours",,"Flexible hours which is great for work-life balance., Flexible hours. I worked part time and was able to pick my own hours","People are nice and close teams, Nice clothes, okay discount, more hours to fill.",,"Low pay and not much company benefits, Little pay for multitasking all day., was salary and worked way over budgeted hours, lots of drama","Terrible management. Very unprofessional and lots of favoritism, It had poor management , low pay and long hours., Not so good managers, people were walking out, and the place was a mess.","Bad management, will throw you onto floor with little/no experience., Bad management, not enough hours, Catty tense work environment. Managers decided to run store like a highschool., Shop lifters and return policy, Promotion is not available alot, Not a lot of growth and development.",,"Not very considerate about personal care ,or time, Very under appreciated, not rewarding, disorganized, Some customers not so friendly, no benefits",,2285,2.83,2.24,2.84,3.05,2.95,3.57,3
300,Lincoln-Property-Company,Lincoln Property Company offers plenty of opportunities for career growth and advancement.,"Good 401k match, Onsite living discounts, Pays well Benefits are good, The Pay and benefits are good!",Exceptional leadership is provided by the company's senior management team.,The hybrid schedule allows for a better work-life balance.,"Great core values, tones of employee appreciation days, work events, great pay",,"After reaching a certain point, it is hard to grow any further in your role. It’s such a big company it’s hard for advancement.","Pay is not as comparable to other companies, but as long as you are leasing- the commission makes up for it., Compensation levels are low compared to the industry","-Extreme favoritism from upper management, lower employees (APMs and below) are treated with little respect and concern and you cannot expect to grow without favoritism.","-Being on Call Dealing with trash compactors, On the flip side, our residents were a handful to say the least so, it can be a lot of stress, repetitive tasks for not much pay.","Some employees have mentioned that the company can be stuck in its ways and not open to new ideas., Great core values",-Multiple Systems To Navigate CRM Can Be Very Slow,1069,4.14,4.05,3.91,3.87,4.07,4.1,5
301,Lindamood-Bell-Learning-Processes,"Flexible schedules, room for upward mobility and promotion from within","Good insurance coverage, pay, Great pay, good benefits, lots of vacation time ,great colleagues",,Flexible schedules,"This is the most diverse place I have ever worked. Of the approximately 13 people I work with, there is representation for all races, several religions, and many origins.",,Very little company loyalty and not enough focus on just working with the students,"pay rate could be much better, Low pay and minimal training, Pay is abysmally low for the amount of stress, effort, and knowledge you're expected to bring to the table.",- The culture is toxic. It’s a for-profit company first and foremost.,Very stressful with more work than can be completed in a day,,Not much diversity at the executive level,3017,3.05,2.78,2.86,3.05,3.24,3.5,3
302,Lookers,"Good career progression for talented individuals, inclusive and diverse workforce","Good pay, benefits, care for staff wellbeing, Good money to be earned, great pay with lots of work life balance, annual leave, maternity benefit 6mths full pay","Strong leadership from Lookers Senior Management, high standard of integrity lead by senior management","Good work to social life balance, can be long hours, busy","Friendly, welcoming and inclusive working environment, valued member of the Recruitment team",,Not much room for progression.,"pension is poor, company poor at giving pay rises and the Management needs improvement, Managers need to be able to make the decisions they are paid for instead of being blocked",,"Long hours 6 days per week, Long hours and no time off",Favouritism is certainly a huge problem at Lookers!,"Treatment of individuals can be questionable at times, Management create a horrible environment.",2754,3.02,3.2,2.92,2.89,3.05,3.33,3
303,Love-s-Travel-Stops-and-Country-Stores,"Outstanding career advancement opportunities, upward mobility, flexibility, and opportunity","Great pay, good benefits, fast pace, Hybrid remote work schedule Benefits are pretty decent","Upper management seems to care about employees and has a great working environment, with lots of growth and excitement around the business. The owners are humble and actually care about all 40,000 employees","The company offers great work life balance and a fun environment, with friendly staff and good company core values.","Diversity, accessibility, and inclusion are at the forefront of the company's values. Inclusion & Diversity Culture is top tier Pay is great Family atmosphere","Diversity, accessibility, and inclusion are at the forefront of the company's values.",,"Too much work for so little pay., Great stater job to have. (negative connotation), Never enough work to do",Our Manager right now is atrocious and should be fired.,,"Favorism, double standards, work environment. Can't complain much. Not much cons.","too much turnover in upper management, GMs allowed to make demeaning rude and racist comments to employees while Dms and higher cover up the complaints.",200,4.18,4.17,3.96,3.87,4.12,4.17,5
304,Loyola-Medicine,Great opportunity for growth as a new RN. Tons of opportunities to grow.,"Good health insurance, PTO, and potential for yearly raise; Pay is great with opportunities to work overtime; Health insurance is affordable; The benefits are pretty good and everyone is pretty relaxed.",,"Like every other hospital we’re very shortstaffed., Management doesn’t really care. We lose more employees than we can hire; Support their nurses, patient to nurse ratios are too high; They have a very poor work life balance.",The culture - the people are fantastic! Decent pay.,,"Little room for professional growth, Limited opportunity for growth - besides clinical ladder there is not much else to seek out;","Since trinity, pay is not the best; under paid compared to market rate. Cost cutting measures let previous analysts go and remaining analysts must pick up the extra work. People requesting data reports are not technically savvy and get bothered when asking explanatory / clarifying questions.","Upper management has no idea how things work, nor do they seem to care., Poor executive leadership make a lot of poor decisions.","Like every other hospital we’re very shortstaffed., Management doesn’t really care. We lose more employees than we can hire; Support their nurses, patient to nurse ratios are too high; They have a very poor work life balance.",,The hospital is diverse but lacking in community.,2750,3.29,3.06,2.74,2.86,3.2,3.56,3
305,MIT,Good career opportunities for research assistants and PhD students.,"Great pension, healthcare, and dental care on campus, as well as a competitive stipend.",Senior management are qualified and competent leaders who provide a supportive environment for students.,"Flexible work arrangements and schedule, allowing for a good work-life balance.","A great community to be a part of with inspiring peers, excellent benefits, and diverse work opportunities.","A lot of inspiring minds in the community, and great resources are available to help you maximize growth and research.","Overworked, underpaid. There is a desperate need for more employees as the current ones are most definitely overworked in both regards to work load as well as the amount of yelling/screaming/scolding we receive from patients as well as the medical staff.","Expensive place to live Salaries could be higher, Expensive healthcare",Lackluster senior leadership,"Work life balance is hard., Requires hard work, no work/life balance, Hours can be long; inflexible on remote work and very traditionalist in many ways.","see headline, does not practice what it preaches (taking money from carpetbaggers, pedophiles, violence in the workplace tolerated, sexism, ageism, etc.), salary ranges are below par with the industry",,752,4.29,3.82,3.88,3.71,4.21,4.15,5
306,MUFG,"Good career opportunities, especially for those with the right experience and pay.","The benefits are satisfactory level., Very good pay Good benefits, Great employee benefits and pension",Senior management is willing to constantly improve and is inclusive and respectful in their interactions with employees.,"Good work life balance. Many reviewers highlight the flexibility of working hours and work life balance, creating a nice culture., Strong and Good work life balance, Good work life balance.","Very strong culture and working environment., Great People and good team culture, The company is praised for being diverse and inclusive in several reviews.",,Some reviewers find the career opportunities less competitive compared to other companies.,"Lower than market salary/ bonus, Total Comp on the low side, Below market and street rate total comp","Leadership is inconsistent and not honest, Senior management are very unprofessional and lack responsiveness.",Worst work life balance. All work. No life. The hours are long. The workload is impossible.,Culture can be challenging sometimes,,673,3.15,3.32,3.07,3.4,3.37,3.47,4
307,Madwire,"MadWire offers great pay, comparable health insurance, and benefits, with incredible responsibility and growth opportunities.",The company offers competitive compensation relative to the amount of work being done.,"Upper management is exceptionally kind and genuine, making them approachable and supportive.",Great emphasis on work/life balance. Flexible schedule is great!,"MadWire truly does feel like a family at our company, with a 'Work hard, Play harder' colloquialism that describes the overall company culture.",The company has a diverse team of professionals who are committed to creating an inclusive work environment.,"Upward mobility is also pretty difficult at least from what I have seen, and time clock mentality can make it hard for some employees.",Some employees find that the compensation relative to the amount of work being done isn't very competitive.,,Some employees find that the time clock mentality makes it difficult to achieve a good work-life balance.,"It can get a bit culty at times, which might not be appealing to everyone.","Company did some restructuring with Covid, feels more like an asset line than a team.",2974,4.13,3.96,4.16,4.12,4.26,4.24,5
308,Majorel,"Great growth opportunities, suitable for career advancement and internal development.",Average salaries are still better than other places. Health insurance,Excellent senior team support.,Work from home is great. 30 minutes to lunch,"Equality and fraternity in every aspect, towards the Next Generation of Insights together, cooperative staff.",,"Limited growth possibility in Barcelona. Those striving to achieve more keep hitting inner walls of time required for a promotion or a transfer/role upgrade, ending up leaving if a person is professional and capable.",- Low salaries They say you will work only one Weekend/month but for multiple months in a row i had NO weekends off,"- Petty, inexperienced management. Due to software overhaul, experienced management had a mass exodus from the company a year ago, and they left the dregs of people with no management experience, no ability to handle conflict maturely.",5) only 30 minutes to lunch,- The narrow area of support. Lack of diversity is very obvious,"- Not the greatest schedules, very little time to take a break and the worst HR department I've seen...they ask you which period you'd like to have a vacation, but totally ignore it if it interferes with their preferences...",108,3.62,3.43,3.45,3.53,3.67,3.95,1
309,Mandarin-Oriental-Hotel-Group,"Good development, generally limited internal career opportunities","Low wages compared to marketing positions on other industries, Good pay. Decent benefits. Bonus medical benefits and staff discounts;","Great leadership- Lots of trainings available for growth, A bit stuck in the past with innovation - senior management in the hotel lack the desire to be creative;","Good work life balance, great connection with Management, Sometimes it's hard to make work and life balance., Long hours and not so good work life balance","Good working environment and great place to grow, Good culture and values",,"Generally limited internal career opportunities, You are not given the opportunity to demonstrate that you know how to perform tasks that can allow you to move on to the next position and therefore you are limited and you are not given the opportunity to get a promotion","Low wages compared to marketing positions on other industries., Good pay. Decent benefits. Bonus medical benefits and staff discounts; Salary is not worth it, Good pay. Decent benefits. Bonus medical benefits and staff discounts;","Micromanaging, bottleneck career, too rigid, Poor leadership, terrible","Long hours and not so good work life balance, Turnover in management; Sometimes it's hard to make work and life balance.",,"Low salaries, bad work-life balance",2204,3.79,3.6,3.62,3.32,3.97,3.99,2
310,Chinese-University-of-Hong-Kong,Flexible career paths available for students and researchers.,"Good compensation and benefits, competitive pay with good medical benefits and work-life balance.",,"Good work life balance for this post, Low workload with a focus on research and studies., CUHK provides a stable environment, with transparent salary structure, good WLB.","Diverse and inclusive environment that encourages collaboration, Strong commitment to promoting diversity, equity, and inclusion in all aspects of university life.","Diverse and inclusive environment that encourages collaboration, Strong commitment to promoting diversity, equity, and inclusion in all aspects of university life.","Some students may find the career options limited in certain fields., No explosive growth for career.","Variable salary structure that can be challenging for some employees., low pay, the salary is capped.",Senior management can be somewhat bureaucratic at times.,,Some students may find the college environment too formal or structured.,"While the university has made efforts to promote diversity and inclusion, some students may still experience challenges in these areas.",1424,3.79,3.84,3.64,4.0,3.9,3.79,2
311,Maritz,"Many career advancement opportunities available., Many reviews mention that the company is actively working on improving diversity and inclusion.","Benefits are solid, fun campus, and proper leadership., Benefits, pay, profit sharing and events., Pay is low compared to industry standard",David Peckinpaugh and other c-suite execs seem to put conscious effort into promoting a good culture.,"Great environment and work life balance. Awesome work life balance, friendly people, work from home, good culture, good vacation time., Flexibility, employees are amazing and great to work with, supportive of one another. Good vacation time and 401k.","The best reason to work for Maritz was the people. The team truly believed in the company and believed in one another. Supportive and collaborative environment., Very people centered, taking care of each other was a top priority; Awesome culture and great benefits.",Many reviews mention that the company is actively working on improving diversity and inclusion.,"Problem solving, rather than problem prevention, is rewarded. Corporate management is worried about themselves only. Some career advancement opportunities may require external networking; Susceptible to things like Covid and losing work.","Health benefits are not great and no options other than 1 plan., Pay is low compared to industry standard",Senior management. They don't take care of their employees.,Long hours but worth it; No work life balance; Lack of ability to move to other ROLES.,Very much a good old boy network; The constant micro-aggressions and racism were a weekly occurrence.,None. This company is horrible.,3079,3.04,2.9,3.19,3.7,3.72,3.44,4
312,Marley-Spoon,Great possibilities in career advancement.,"Competitive salary, food allowance, work from home options, flexible independent work environment",Great culture and great management.,"The company provides a flexible independent work environment, allowing employees to balance work and life.",A multicultural environment providing opportunities for diverse perspectives.,"A company that cares about its employees' wellbeing, provides support, and chances to grow.",Repetitive work and lack of scope of progression,The amount of software programs is especially in the beginning quite overwhelming. Also the salary is not so high.,Management has zero idea how to create a workplace that isn't full of gossip or how to lead,"Hours can be quite long, making it difficult to balance work and life.","Some levels of management are considered poor, creating a cold environment.",Have seen people leaving company on regular basis within 3 months of joining. No idea whats the reason but its gets noticed.,2995,3.72,3.5,3.66,3.5,4.06,4.22,2
313,Mary-Kay,"Salary and bonus is great, lots of opportunity if you work hard and follow the culture.","Benefits, Culture and the people",A strong culture and value system is present in the company.,,Company's Mission to empower women,,Opportunities may be limited or advancement possibilities within the company.,"Benefits may not be as good as expected, with some products being overpriced.",The company's leadership can be slow to respond to employee concerns and may prioritize profits over people.,,"Nothing, I loved mary kay!","The company has historically been criticized for its lack of diversity in leadership positions, with some employees reporting that women are underrepresented in key roles.",2831,3.83,4.11,3.75,4.02,4.24,4.1,5
314,McLane-Company,Career growth opportunities and pay.,"Benefits on day 1, Many free lunches - 401K, Money and break times every 2 hrs, Decent pay rate, decent 401k plan",,"4 day work week, good pay plan and benefits from day 1","Great place to work at, Family atmosphere, in the field, great supervisors, Great team to work with, company values/beliefs are displayed, Culture",,,"Paid Bi-Weekly, over sell the pay when starting out. The 85k or 90k advertising they do for new drivers isn’t accurate.","- Your leadership will fail you every step of the way - You will not receive fair compensation, or PTO",Poor management and unbelievable unprofessional behavior,"- Bias fired without warning very discriminating, Discrimination seen against certain drivers. Clique culture",,1110,3.09,3.6,2.78,2.57,2.93,3.29,3
315,McMaster-University,The job provides a student position which can lead to future career opportunities.,"Benefits, vacation time, sick time, Good pay, Good dental and optical insurance.",,"Good work life balance while currently many positions are offering a hybrid work model, with at least 1 day remote work permitted.","Amazing working environment and friendly staff, Amazing work culture and friendly colleagues, Accommodating and great coworkers. Good place overall","Helpful and inclusive work force., People are nice and diverse.",Sometimes profs ask you to teach too many things.,"Low pay as a graduate student, low pay and decent benefits",,,"Company culture is low and it could be better, Definitely a clique mentality and if you don't fit in, it's tough.",,1425,4.01,3.75,3.91,4.11,4.16,4.32,5
316,MedExpress-Urgent-Care,opportunities for career growth and professional development exist,"Salary and benefits were good, Good company to work for with a positive team environment, Great full-time benefits",,The Jacksonville location and management team provided me the best work/life balance for my lifestyle. Great flexibility.,,,"Limited career advancement options due to high turnover rates, long hours, high volume of patients, and not much room to grow.","Low pay, poor pay raise structure",upper management was not supportive and created confusion among employees,"extreme short staffing leading to long hours and no lunch breaks, poor work-life balance and favoritism in management",,sexual harassment and mental health issues are not taken seriously by management,2250,2.87,2.99,2.69,3.38,2.99,3.39,3
317,Mercedes-Benz-International,"One of the best workplaces for graduates, Good job opportunities and a variety of positions available","Good pay and good working conditions, Great company many millionaires with there 401k here, Benefits are great for most part, free coffee, tea and cookies",,"Less than 40 hours per work week, good work/life balance, and decent freedom without micromanaging","Awesome place to work. They have a great culture and they foster learning for growth, Company and people are friendly, some facilities are nice, and it's a good company to work for",,Not enough career growth !,"-They don't pay according to industry standards, Pay is not the greatest, low pay, Long hours terrible management overall","-Some management micro manage staff, Managers go on a power trip when something doesn't go their way, No raises, no promotions, no help","-No work life balance and short 10 min breaks., Long hours every day of the week, working longer weeks than other jobs require",-Bad management. Company culture being lost due to fast growth. Employees feel like contractors for Mercedes-Benz instead of part of the parent company. Mis-communication of company strategy and goals. Empty promises from management,,1224,3.5,3.77,3.43,3.66,3.78,3.89,1
318,Merit-Medical-Systems,"Big Company, lots of room to grow","Great employee compensations, Good salary, nice team to work with, Great benefits, health insurance since the first date you start; Wage and benefits are good",CEO is a great leader,"Four day week, subsidised lunch, Christmas/race week off, made friends for life, work life balance","Good work culture,  nice people., Good hours, nice People, chance to upskill, Good salary, nice team to work with, Good people at most levels, Good culture, good place to gain experience, good working conditions.",,"A few disconnects in certain areas with local HR and operations. That is about all., Difficult to compete considering large territory, out-manned by competitive organizations","Pay is low, not a job for people that need to support a family., Lower pay compared to most other factory's in the area, benefits arent great,there is free health cover If under certain age. huge turnover of staff, Compensation package is not competitive., Poor Benefits, Pay lower than other company, Compensation and benefits not at par with other medical device companies.","Nepotism is alive and well., CEO is a huge micromanager","Long hours, short break time., Work life balance is challenging because of 24/7 operations.",,"Lack of diversity and inclusion in management/corporate/salaried positions. Management also picks and chooses who rules will apply to; basically, what is OK for some, is not OK for others.; Not recommended for women or minorities. Obvious discrimination., Obvious discrimination.",2804,3.02,3.0,2.83,3.25,3.22,3.3,3
319,Merkle,Great team Great learning opportunities,Great benefits; generous time off;,,"Excellent work-life balance with a focus on personal health, growth and happiness. Always innovating and continually growing.","Family-Like Culture allows for ease of engagement internally., Knowledge and learning graph will always be upward Culture is very good and you will work with some extra-ordinary minds.",,Training specific to the agency processes and ways of working at the Director level isn't strong,,Rigid structure that is slow moving/resistant to change More and more beholden to Dentsu integration over time,"Work pressure with strict timelines work life balance, Work Life Balance can be challenging if you let it","- Dying culture - Little travel opportunities except for higher-ups, Toxic work environment, Some higher up's do not care about anybody below them, and will talk to you as if you're nothing.",,914,3.59,3.25,3.42,3.56,3.74,3.93,1
320,Michigan-State-University,"Opportunities exist for career advancement, but may require additional education or experience.",Competitive salary with potential for bonuses and benefits.,"Senior leadership is supportive of postdocs, providing valuable guidance and mentorship.",Flexible work arrangements allow for a healthy balance between work and personal life.,"The university values diversity, equity, and inclusion, promoting a positive and welcoming environment.",NTT inclusive higher ed community.,"Limited career advancement opportunities for postdocs, requiring additional education or experience.","-Changes to the unions don't happen often, so what's there is there, and not much would or will be changing it seems, I believe that's why some of the pay rates seem so rock solid despite inflation, people are so comfortable and afraid of change that not much will, well change.",,Bad weather and high expectations from athletics departments can impact work-life balance.,"Bullying is prevalent in this culture. If you do not fit in, you will be ostracized by co-workers.",,906,3.88,3.7,3.75,4.0,3.99,4.11,2
321,ChinesePod,"Big opportunity for commission and experience, I got a great opportunity to start my career.","the salary package is Good, Salary and incentives are market leading, Good benefits for this company",,"Lots of free time. Work life balance., great flexibility.","solid company, great culture, great people, great environment",,Alot of hours to work getting it done,,management tends to micromanage everyone,,"BAD WORK ENVIRONMENT IN THE COMPANY, The whole place is structured by nepotism and favoritism so the people in charge of HR are profane, smelling like weed, and rude",havent found one yet but looking,3172,3.39,3.39,3.57,3.6,3.7,3.59,1
